1653101264.1014853	10000
1653101265.1023746	20008
1653101266.103037	30016
1653101267.1036727	40024
1653101268.104216	60040
1653101269.104901	70048
1653101270.105483	80056
1653101271.1061585	90064
1653101272.1067362	100072
1653101273.1072946	110080
1653101274.1078906	120088
1653101275.1085272	140104
1653101276.1090953	150112
1653101277.1097229	160120
1653101278.1102738	170128
1653101279.1149683	180136
1653101280.1156042	190144
1653101281.119248	200152
1653101282.1222534	220168
1653101283.1253502	230176
1653101284.12595	240184
