1653101533.1784225	10000
1653101533.3946059	10000
1653101534.1794894	20008
1653101534.395219	20008
1653101535.1874218	30016
1653101535.3958437	30016
1653101536.1880505	40024
1653101536.3964334	50032
1653101537.1889668	50032
1653101537.3969939	60040
1653101538.189685	70048
1653101538.397638	70048
1653101539.1985767	80056
1653101539.3982217	80056
1653101540.199209	90064
1653101540.3987412	90064
1653101541.2019305	100072
1653101541.3993115	100072
1653101542.2025533	110080
1653101542.399912	110080
1653101543.203232	120088
1653101543.4005198	120088
1653101544.2038174	130096
1653101544.4012196	140104
1653101545.204398	150112
1653101545.4017718	150112
1653101546.2049844	160120
1653101546.4043202	160120
1653101547.205664	170128
1653101547.4050784	170128
1653101548.2062376	180136
1653101548.4056604	180136
1653101549.22168	190144
1653101549.4063299	190144
1653101550.2222848	200152
1653101550.406927	200152
1653101551.2228897	210160
1653101551.4074974	210160
1653101552.2235367	220168
1653101552.408081	230176
1653101553.2241828	240184
1653101553.4086392	240184
